category1,category2,category3,category4,service,issue,agree,disagree,noidea,expSol
수송및교통,대중교통ㆍ물류등기타,방송운영 및 관리,방송시설 및 장비관리,송신소 유지관리,공공 안전,1,4,2,0
국토및지역개발,지역및도시,공원이용시민 만족도 향상,다양한 축제 및 볼거리 프로그램 운영,동물전시 프로그램 개발운영,공공 안전,2,7,3,0
국토및지역개발,지역및도시,공원이용시민 만족도 향상,다양한 축제 및 볼거리 프로그램 운영,동물관리 프로그램 운영,공공 안전,0,2,2,0
국토및지역개발,지역및도시,공원이용시민 만족도 향상,시민만족도 향상,공원내 자원봉사자 운영,공공 안전,0,0,3,0
국토및지역개발,지역및도시,공원이용시민 만족도 향상,시민만족도 향상,공원편익(판매)시설 유지 및 보수,공공 안전,0,2,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,소장유물 확보 및 보존,유물등록관리,공공 안전,1,2,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,소장유물 확보 및 보존,기증유물정리 및 목록발간,공공 안전,0,2,2,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,소장유물 확보 및 보존,기증유물 특별전,공공 안전,1,3,2,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,소장유물 확보 및 보존,유물수집,공공 안전,1,2,3,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,관람 지원기반 구축,박물관 유지·운영,공공 안전,0,0,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,한양도성 전시관 운영,한양도성박물관 · 연구소 운영,공공 안전,0,2,3,0
기타,기타,행정운영경비(서울역사박물관 총무과),기본경비,기본경비,공공 안전,1,1,3,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,소장유물 확보 및 보존,보존과학실 운영,공공 안전,1,3,4,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,관람 지원기반 구축,경희궁지 관리,공공 안전,1,3,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,관람 지원기반 구축,박물관 정보화,공공 안전,1,2,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,관람 지원기반 구축,자원봉사자 운영,공공 안전,1,0,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,관람 지원기반 구축,박물관 자료실 운영,공공 안전,1,4,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,조사연구기능 강화,서울생활문화자료조사 및 편찬,공공 안전,3,3,3,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,조사연구기능 강화,박물관 연구논문집 발간,공공 안전,1,3,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,조사연구기능 강화,박물관 학술총서 발간,공공 안전,0,2,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,조사연구기능 강화,서울성장사 디지털아카이브 구축,공공 안전,2,3,1,0
문화및관광,문화예술,문화예술 진흥,전시회 개최,시립미술관 기획전시,공공 안전,1,2,2,0
문화및관광,문화예술,문화예술 진흥,전시회 개최,서울 국제미디어아트 비엔날레 개최,공공 안전,0,1,2,0
문화및관광,문화예술,문화예술 진흥,전시회 개최,SeMA 신진작가 전시지원 프로그램,공공 안전,0,2,2,0
문화및관광,문화예술,문화예술 진흥,전시회 개최,미술소통 프로젝트,공공 안전,1,1,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,박물관운영 활성화,상설전시실 유지운영,공공 안전,0,3,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,박물관운영 활성화,선사 · 고대 기획전,공공 안전,0,2,2,0
문화및관광,문화예술,문화예술 진흥,전시회 개최,서울포커스전,공공 안전,2,1,2,0
문화및관광,문화예술,문화예술 진흥,전시회 개최,천경자 상설전시실 운영,공공 안전,1,0,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,관람지원기반 구축,자원봉사자 등 운영,공공 안전,2,0,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,박물관운영 활성화,박물관 홍보 및 문화행사 운영,공공 안전,1,3,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,박물관운영 활성화,박물관 교육운영,공공 안전,0,4,2,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,박물관운영 활성화,백제문화 특별전,공공 안전,2,2,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,소장유물 확보 및 보존,백제왕도유적 발굴조사 및 백제학연구소 운영,공공 안전,1,5,2,0
국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화,공원내 공원등시설 개선,공공 안전,2,0,1,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,관람지원기반 구축,몽촌토성 위탁관리,공공 안전,1,2,4,0
문화및관광,문화재,선사·고대 역사문화 공간 창조,관람지원기반 구축,박물관 정보자료실 운영,공공 안전,1,4,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,박물관 유물기증 사례,공공 안전,1,2,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,소장유물 보존처리,공공 안전,0,3,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,유물등록관리,공공 안전,0,2,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,문화유적 발굴조사,공공 안전,0,2,3,0
일반공공행정,일반행정,인재양성 및 시험관리,교육시설 유지 및 장비 확충,직장보육시설 운영,공공 안전,1,0,1,0
문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 육성지원,작은도서관 육성지원,공공 안전,2,2,1,0
기타,기타,행정운영경비(인재개발원 인재기획과),기본경비,기본경비,공공 안전,2,3,3,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,박물관 유물 구입,공공 안전,0,1,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육시설 유지 및 장비 확충,도서실 운영,공공 안전,0,3,1,0
일반공공행정,일반행정,인재양성 및 시험관리,교육시설 유지 및 장비 확충,교육생 급식지원,공공 안전,1,1,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육시설 유지 및 장비 확충,인재원청사 보수·보강,공공 안전,0,2,1,0
일반공공행정,일반행정,인재양성 및 시험관리,교육시설 유지 및 장비 확충,인재원청사 유지관리,공공 안전,1,2,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,신임리더과정 운영,공공 안전,0,1,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,퇴직 후 인생설계 교육,공공 안전,1,1,1,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,5급 승진자 역량평가 이해과정 운영,공공 안전,0,3,1,0
일반공공행정,일반행정,인재양성 및 시험관리,교육시설 유지 및 장비 확충,교육훈련장비 확충,공공 안전,0,4,3,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,서울반세기 종합전,공공 안전,0,1,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,박물관 홍보마케팅 강화,공공 안전,0,2,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,정부수반유적 관리운영,공공 안전,1,3,0,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,백인제가 하우스 뮤지엄 조성 및 운영,공공 안전,0,5,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,시민 관람 서비스 운영,공공 안전,6,15,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,서울 2000년 역사문화 특별전,공공 안전,1,2,3,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,서울 도시계획 모형 유지 운영,공공 안전,0,2,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,박물관 운영 활성화,공공 안전,2,2,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,박물관 교육,공공 안전,1,0,1,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,상설전시실 유지운영,공공 안전,0,4,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,기증유물전시실 운영 및 특별전 개최,공공 안전,1,1,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,청계천문화관 운영,공공 안전,2,1,3,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,고문서·전적류 등록해제,공공 안전,1,1,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존,근현대 서울유산 수집,공공 안전,2,3,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,박물관 기획전,공공 안전,1,1,2,0
문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화,문화향수기반조성 및 문화행사추진,공공 안전,1,0,1,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,연구 활성화 지원,해외유수행정대학원 서울시정사례연구 교과목 운영지원,공공 안전,2,2,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,연구 활성화 지원,교수 연구보조비 지급,공공 안전,1,3,1,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,연구 활성화 지원,강사료 지급,공공 안전,0,4,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,연구 활성화 지원,학술연구 조성비 지급,공공 안전,0,1,3,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,교원선택적복지제도 운영,공공 안전,1,1,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,100주년 기념 시민문화 교육관 건립,공공 안전,1,0,2,0
공공질서및안전,재난방재ㆍ민방위,산림안전관리,산림재해방지,청룡산 위험절개지 정비(주민참여),공공 안전,2,1,2,1
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,대학 정보화 기반 구축,종합정보시스템 운영,공공 안전,2,0,1,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,친환경·녹색캠퍼스 조성,공공 안전,1,1,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,기숙사 증축,공공 안전,2,1,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,도서관 운영,공공 안전,1,1,1,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,실험실습기자재 확충,공공 안전,1,1,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,시립대 시설물 유지관리,공공 안전,1,2,3,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,교육지원환경개선,공공 안전,0,2,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,노후건축물 방수 및 보수공사,공공 안전,4,0,1,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,교육 시설기반 구축,음악관 건립,공공 안전,1,1,1,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,6급 실무전문가 양성과정 운영,공공 안전,1,1,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,5급 승진자 역량평가과정 운영,공공 안전,0,2,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,시정철학 공유 특별교육,공공 안전,1,2,1,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,IT전문교육 운영,공공 안전,0,1,3,0
일반공공행정,일반행정,인재양성 및 시험관리,교육계획ㆍ프로그램개발 및 운영,교육과정개발 및 교육훈련계획 수립,공공 안전,2,2,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육계획ㆍ프로그램개발 및 운영,인적자원개발(HRD) 역량강화프로그램 운영,공공 안전,1,0,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육계획ㆍ프로그램개발 및 운영,u-지식여행 개발 운영,공공 안전,0,1,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영,재직자 교육과정 운영,공공 안전,0,1,2,0
교육,고등교육,일반예산(재무활동),보전지출(서울시립대학교 총무과),반환금및기타,공공 안전,0,1,1,0
기타,기타,행정운영경비(서울시립대학교 총무과),기본경비,기본경비,공공 안전,0,4,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육계획ㆍ프로그램개발 및 운영,e-러닝 운영,공공 안전,2,1,2,0
일반공공행정,일반행정,인재양성 및 시험관리,교육계획ㆍ프로그램개발 및 운영,e-러닝콘텐츠 개발,공공 안전,0,2,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,시민생활 향상,시민대학 운영,공공 안전,1,2,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,학생 경쟁력 강화,장학금 지급,공공 안전,2,0,3,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,학생 경쟁력 강화,대학(원) 입시관리,공공 안전,1,1,2,0
교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,학생 경쟁력 강화,고교교육정상화 기여대학 지원사업,공공 안전,1,1,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,한강 스토리텔링을 통한 관광 상품화,공공 안전,0,2,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,한강 상징 조형물 설치,공공 안전,0,4,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강 하천시설 관리,한강 수상방재 및 수중·수상 청소,공공 안전,3,0,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강 하천시설 관리,한강 관공선 등 운영 및 관리,공공 안전,0,2,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,한강 종이비행기 대회,공공 안전,0,2,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,자원봉사자 운영,공공 안전,2,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,물빛무대 운영 및 관리,공공 안전,1,2,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,한강 행복몽땅 프로젝트,공공 안전,0,2,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,자전거 관제센터 운영 및 유지보수,공공 안전,1,2,0,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강난지공원 민간위탁시설 전원분리공사,공공 안전,1,2,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,한강시민위원회 운영,공공 안전,1,0,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,시민중심의 한강문화 활성화,한강 서래섬 꽃 축제,공공 안전,0,2,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 기반시설 개선,공공 안전,1,2,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,자전거도로 유지보수,공공 안전,3,0,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 공원등 설치 및 운영,공공 안전,1,0,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 기전시설 유지관리,공공 안전,3,2,1,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 생태계 회복(복원),한강 자연성 회복사업,공공 안전,0,3,1,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강공원  홍보,한강공원 시민이용 홍보,공공 안전,1,1,2,0
기타,기타,행정운영경비(한강사업본부 기획예산과),기본경비,기본경비,공공 안전,2,3,1,0
일반공공행정,일반행정,재무활동(한강사업본부 기획예산과),보전지출,반환금 및 기타,공공 안전,1,1,2,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 접근체계 개선,서부이촌동 보행육교 개선,공공 안전,4,0,2,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 생태계 회복(복원),한강 생태공원 확충(서래섬주변),공공 안전,1,3,2,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 생태계 회복(복원),양화 한강공원 생태공원화 사업,공공 안전,1,0,2,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 생태계 회복(복원),한강 밤섬 람사르습지 보전관리,공공 안전,1,1,6,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 접근체계 개선,망원 초록길 조성,공공 안전,1,2,2,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 접근체계 개선,한강공원 나들목 증설 및 개선,공공 안전,2,1,1,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 접근체계 개선,한강둔치 자동차 도로개선 (주민참여예산),공공 안전,2,1,3,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 접근체계 개선,반포주차장(세빛섬) 주변 교통체계 개선,공공 안전,1,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강 하천시설 관리,한강저수로 정비,공공 안전,1,1,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강 하천시설 관리,한강 하천시설 유지관리 및 개선공사,공공 안전,1,0,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강 하천시설 관리,수중보 유지관리,공공 안전,1,1,2,0
환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 접근체계 개선,한강공원 자전거도로 업그레이드,공공 안전,0,2,3,0
환경보호,상하수도ㆍ수질,일반예산(예비비),예비비(상수도사업본부 기획예산과),예비비,공공 안전,0,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강사업본부 청사 시설개선 및 유지관리,공공 안전,0,2,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,행정장비구매,공공 안전,1,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,스마트폰 프로그램 유지관리,공공 안전,16,41,14,0
기타,기타,행정운영경비(상수도사업본부 기획예산과),인력운영비(상수도사업특별회계),인력운영비,공공 안전,0,2,1,0
환경보호,상하수도ㆍ수질,일반예산(재무활동),보전지출(상수도사업본부 기획예산과),지방채상환,공공 안전,0,1,1,0
환경보호,상하수도ㆍ수질,일반예산(재무활동),보전지출(상수도사업본부 기획예산과),재정투융자기금상환,공공 안전,2,3,0,0
환경보호,상하수도ㆍ수질,일반예산(재무활동),보전지출(상수도사업본부 기획예산과),국고보조금반환,공공 안전,2,2,2,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,서비스장비 확충 및 환경개선,공공 안전,42,19,10,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,상수도 행정서비스 지원,공공 안전,24,16,5,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,강북정수센터 미불용지 보상,공공 안전,2,0,3,0
기타,기타,행정운영경비(상수도사업본부 기획예산과),기본경비(상수도사업특별회계),기본경비,공공 안전,1,3,1,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,아리수 품질확인제,공공 안전,1,0,3,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,직원 후생복지제도 운영,공공 안전,0,1,2,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,단기해외연수 운영,공공 안전,1,2,2,0
환경보호,상하수도ㆍ수질,시민편의 행정서비스 제공,아리수 행정서비스 향상,상수도인력의 전문화사업,공공 안전,2,2,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강 자전거공원 운영 및 관리,공공 안전,1,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,녹지시설 유지관리,공공 안전,2,3,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,생태공원 운영 및 유지관리,공공 안전,0,2,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 접근시설 유지관리,공공 안전,1,1,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강 어류·조류 서식환경 개선,공공 안전,0,1,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,수영장 유지관리,공공 안전,2,3,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 주차장 운영,공공 안전,0,2,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 위탁체육시설 관리,공공 안전,1,4,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 전망쉼터(카페) 운영 및 관리,공공 안전,2,3,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 체육시설 운영 및 관리,공공 안전,2,2,1,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,불법 노점상 및 점용물 정비,공공 안전,1,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,둔치 및 화장실 청소,공공 안전,3,2,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 GIS안내시스템 유지관리,공공 안전,3,1,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 시설부대비,공공 안전,1,2,3,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,한강공원 이용시설 보수·정비,공공 안전,1,0,2,0
환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선,뚝섬전망문화복합시설 운영 및 관리,공공 안전,1,0,3,0
수송및교통,대중교통ㆍ물류등기타,방송운영 및 관리,방송정보제공,서울특별시 교통문화상,공공 안전,1,1,4,0
환경보호,상하수도ㆍ수질,안정된 아리수 공급체계 구축,안정된 공급을 위한 배수지 확충 및 관리,"가압장,배수지 노후시설개량",공공 안전,1,0,1,0
국토및지역개발,지역및도시,공원녹지관리 수준향상 및 도시녹화 지원,공원관리 및 도시녹화 지원,시민의숲 시설물 정비,공공 안전,1,1,2,0
수송및교통,도시철도,도시철도 건설,도시철도 건설사업,도시철도 9호선 1단계건설,공공 안전,0,2,2,0
환경보호,환경보호일반,환경협력의 사전예방기능 강화,친환경적인 도시환경 조성,환경작품공모전 시상,공공 안전,0,1,2,0
기타,기타,행정운영경비(도시기반시설본부 기획예산과),기본경비,기본경비,공공 안전,1,2,1,0
환경보호,상하수도ㆍ수질,최고품질의 아리수 생산,건강하고 맛있는 아리수 생산,동력비,공공 안전,2,0,2,0
환경보호,상하수도ㆍ수질,안정된 아리수 공급체계 구축,최적의 관망환경 조성,소블록 배급수관망 개선,공공 안전,1,3,2,0
일반공공행정,입법및선거관리,의정활동의 적극홍보 및 정보화 사업 추진,의정활동 홍보 사업,의회 홍보촬영장비 관리,공공 안전,0,0,1,0
일반공공행정,입법및선거관리,의정활동의 적극홍보 및 정보화 사업 추진,의정활동 홍보 사업,여론조사 및 의정모니터 운영,공공 안전,0,3,1,0
환경보호,상하수도ㆍ수질,안정된 아리수 공급체계 구축,최적의 관망환경 조성,송배수관 정비,공공 안전,0,0,2,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반),층간소음 전문컨설팅단 운영,공공 안전,2,0,2,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반),공동주택관리 실태조사,공공 안전,2,0,2,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,시민아파트 정리(일반),학교용지부담금 징수교부금(택지개발사업),공공 안전,1,2,4,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반),공동주택 리모델링 활성화,공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시안전 강화 및 관리,건축물 안정성 및 공공성 강화(일반),민간건축물 안전관리,공공 안전,3,0,1,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,시민아파트 정리(일반),시민아파트 정리,공공 안전,0,1,1,0
문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 육성지원,장애인은 도서관에 가면 안 되나요(주민참여),공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시안전 강화 및 관리,건축물 안정성 및 공공성 강화(일반),건축물 내진성능 자가점검시스템 기능개선,공공 안전,3,1,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),공공임대주택건설 지원(민선6기),공공 안전,1,1,4,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),역세권 장기전세주택 위탁관리,공공 안전,1,4,3,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(도정),재건축 소형주택 위탁관리,공공 안전,0,4,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(도정),재건축 소형주택 매입,공공 안전,1,3,2,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반),살기 좋은 아파트 공동체 활성화,공공 안전,2,1,1,0
문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 시설확충,창3동 주민센터 작은도서관 조성(주민참여),공공 안전,2,4,2,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반),공동주택관리지원,공공 안전,0,2,2,0
국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반),공동주택 통합정보마당 유지보수,공공 안전,0,1,1,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),한옥건축물 안내판 제작 지원사업,공공 안전,2,2,2,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),북촌 제1종지구단위 계획구역 재정비 용역,공공 안전,1,2,2,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),군인아파트 활용 타당성용역,공공 안전,2,3,2,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),한양도성주변 군시설부지(겸재정선 인곡정사터) 활용 방안에 관한 타당성 조사용역,공공 안전,0,2,2,0
문화및관광,문화재,한옥건축자산 보전진흥,전통문화계승발전,한옥마을 및 한양도성 인근마을 가꾸기 공동체 지원사업,공공 안전,2,2,3,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(주택사업),필운 역사문화거리 조성사업,공공 안전,1,3,2,0
문화및관광,문화재,한옥건축자산 보전진흥,전통문화계승발전,북촌 한옥마을 점검 및 유지관리,공공 안전,1,1,2,0
문화및관광,문화재,한옥건축자산 보전진흥,전통문화계승발전,북촌문화센터 운영 및 한옥문화 콘텐츠 발굴,공공 안전,0,2,1,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),한옥 매입 및 활용사업,공공 안전,1,2,2,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),한옥수선 및 신축 지원사업,공공 안전,0,2,2,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),한옥 옛 길 및 안심마을 조성,공공 안전,1,1,2,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),서촌 현장사무소 운영 및 마을공동체 활성화,공공 안전,1,4,3,0
국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반),신한옥형 공공건축물 구축사업,공공 안전,0,4,1,0
